Time 1-10.0.0.3-10.0.0.2 Aggregate-Flow
0.000000 0.000304 0.000304
1.000000 0.000373 0.000373
2.000000 0.002453 0.002453
3.000000 0.000642 0.000642
4.000000 0.000437 0.000437
5.000000 0.003611 0.003611
6.000000 0.001236 0.001236
7.000000 0.000861 0.000861
8.000000 0.005110 0.005110
9.000000 0.001434 0.001434
10.000000 0.000860 0.000860
11.000000 0.000287 0.000287
12.000000 0.000122 0.000122
13.000000 0.000210 0.000210
14.000000 0.000737 0.000737
15.000000 0.000755 0.000755
16.000000 0.001125 0.001125
17.000000 0.001907 0.001907
18.000000 0.000547 0.000547
19.000000 0.001891 0.001891
20.000000 0.004491 0.004491
21.000000 0.001390 0.001390
22.000000 0.000982 0.000982
23.000000 0.000740 0.000740
24.000000 0.000438 0.000438
25.000000 0.000543 0.000543
26.000000 0.000249 0.000249
27.000000 0.001752 0.001752
28.000000 0.001295 0.001295
29.000000 0.000498 0.000498
30.000000 0.001455 0.001455
31.000000 0.000108 0.000108
32.000000 0.009349 0.009349
33.000000 0.001839 0.001839
34.000000 0.001589 0.001589
35.000000 0.001288 0.001288
36.000000 0.001267 0.001267
37.000000 0.002727 0.002727
38.000000 0.000964 0.000964
39.000000 0.001776 0.001776
40.000000 0.000423 0.000423
41.000000 0.000091 0.000091
42.000000 0.000881 0.000881
43.000000 0.001676 0.001676
44.000000 0.000271 0.000271
45.000000 0.000241 0.000241
46.000000 0.000725 0.000725
47.000000 0.001336 0.001336
48.000000 0.000651 0.000651
49.000000 0.005971 0.005971
50.000000 0.000233 0.000233
51.000000 0.004255 0.004255
52.000000 0.001461 0.001461
53.000000 0.001346 0.001346
54.000000 0.001332 0.001332
55.000000 0.001645 0.001645
56.000000 0.000408 0.000408
57.000000 0.000846 0.000846
58.000000 0.004582 0.004582
59.000000 0.001402 0.001402
60.000000 0.001611 0.001611
61.000000 0.003516 0.003516
62.000000 0.000552 0.000552
63.000000 0.000166 0.000166
64.000000 0.000509 0.000509
65.000000 0.001417 0.001417
66.000000 0.002111 0.002111
67.000000 0.002208 0.002208
68.000000 0.002352 0.002352
69.000000 0.000371 0.000371
70.000000 0.002116 0.002116
71.000000 0.003471 0.003471
72.000000 0.001810 0.001810
73.000000 0.000554 0.000554
74.000000 0.002159 0.002159
75.000000 0.004287 0.004287
76.000000 0.000533 0.000533
77.000000 0.001771 0.001771
78.000000 0.004749 0.004749
79.000000 0.002495 0.002495
80.000000 0.000082 0.000082
81.000000 0.002491 0.002491
82.000000 0.001259 0.001259
83.000000 0.001515 0.001515
84.000000 0.012020 0.012020
85.000000 0.000348 0.000348
86.000000 0.000129 0.000129
87.000000 0.000137 0.000137
88.000000 0.000260 0.000260
89.000000 0.000454 0.000454
90.000000 0.001326 0.001326
91.000000 0.000500 0.000500
92.000000 0.000602 0.000602
93.000000 0.002966 0.002966
94.000000 0.000946 0.000946
95.000000 0.001354 0.001354
96.000000 0.002829 0.002829
97.000000 0.001068 0.001068
98.000000 0.004520 0.004520
99.000000 0.001158 0.001158
100.000000 0.004070 0.004070
101.000000 0.001475 0.001475
102.000000 0.003873 0.003873
103.000000 0.000298 0.000298
104.000000 0.000127 0.000127
105.000000 0.000674 0.000674
106.000000 0.000200 0.000200
107.000000 0.001499 0.001499
108.000000 0.001276 0.001276
109.000000 0.000780 0.000780
110.000000 0.000709 0.000709
111.000000 0.000428 0.000428
112.000000 0.001128 0.001128
113.000000 0.003449 0.003449
114.000000 0.001214 0.001214
115.000000 0.001031 0.001031
116.000000 0.002537 0.002537
117.000000 0.001014 0.001014
118.000000 0.000690 0.000690
119.000000 0.001336 0.001336
120.000000 0.003163 0.003163
121.000000 0.000911 0.000911
122.000000 0.004231 0.004231
123.000000 0.000302 0.000302
124.000000 0.001452 0.001452
125.000000 0.000647 0.000647
126.000000 0.000785 0.000785
127.000000 0.000427 0.000427
128.000000 0.000677 0.000677
129.000000 0.000741 0.000741
130.000000 0.002955 0.002955
131.000000 0.000822 0.000822
132.000000 0.001318 0.001318
133.000000 0.002684 0.002684
134.000000 0.001388 0.001388
135.000000 0.000717 0.000717
136.000000 0.000829 0.000829
137.000000 0.000136 0.000136
138.000000 0.000295 0.000295
139.000000 0.000241 0.000241
140.000000 0.000383 0.000383
141.000000 0.000994 0.000994
142.000000 0.001319 0.001319
143.000000 0.000398 0.000398
144.000000 0.001053 0.001053
145.000000 0.001209 0.001209
146.000000 0.001084 0.001084
147.000000 0.001510 0.001510
148.000000 0.000644 0.000644
149.000000 0.001214 0.001214
150.000000 0.001422 0.001422
151.000000 0.000308 0.000308
152.000000 0.000309 0.000309
153.000000 0.000496 0.000496
154.000000 0.000657 0.000657
155.000000 0.000175 0.000175
156.000000 0.000291 0.000291
157.000000 0.000179 0.000179
158.000000 0.000133 0.000133
159.000000 0.001217 0.001217
160.000000 0.001476 0.001476
161.000000 0.000502 0.000502
162.000000 0.000219 0.000219
163.000000 0.000195 0.000195
164.000000 0.000343 0.000343
165.000000 0.000819 0.000819
166.000000 0.000159 0.000159
167.000000 0.000779 0.000779
168.000000 0.000518 0.000518
169.000000 0.003769 0.003769
170.000000 0.000919 0.000919
171.000000 0.001585 0.001585
172.000000 0.000454 0.000454
173.000000 0.000737 0.000737
174.000000 0.001446 0.001446
175.000000 0.001766 0.001766
176.000000 0.000961 0.000961
177.000000 0.001290 0.001290
178.000000 0.001233 0.001233
179.000000 0.000678 0.000678
180.000000 0.000463 0.000463
181.000000 0.002210 0.002210
182.000000 0.000375 0.000375
183.000000 0.000768 0.000768
184.000000 0.000532 0.000532
185.000000 0.000209 0.000209
186.000000 0.000285 0.000285
187.000000 0.000073 0.000073
188.000000 0.000481 0.000481
189.000000 0.000142 0.000142
190.000000 0.000398 0.000398
191.000000 0.000704 0.000704
192.000000 0.000650 0.000650
193.000000 0.000385 0.000385
194.000000 0.000138 0.000138
195.000000 0.000283 0.000283
196.000000 0.000456 0.000456
197.000000 0.000131 0.000131
198.000000 0.000863 0.000863
199.000000 0.000081 0.000081
200.000000 0.003073 0.003073
201.000000 0.000163 0.000163
202.000000 0.000120 0.000120
203.000000 0.000736 0.000736
204.000000 0.000847 0.000847
205.000000 0.000428 0.000428
206.000000 0.000368 0.000368
207.000000 0.000142 0.000142
208.000000 0.000292 0.000292
209.000000 0.000253 0.000253
210.000000 0.000272 0.000272
211.000000 0.007345 0.007345
212.000000 0.018521 0.018521
213.000000 0.001125 0.001125
214.000000 0.000118 0.000118
215.000000 0.001218 0.001218
216.000000 0.001029 0.001029
217.000000 0.002158 0.002158
218.000000 0.000945 0.000945
219.000000 0.002760 0.002760
220.000000 0.000817 0.000817
221.000000 0.000666 0.000666
222.000000 0.000802 0.000802
223.000000 0.002011 0.002011
224.000000 0.001107 0.001107
225.000000 0.000211 0.000211
226.000000 0.002459 0.002459
227.000000 0.000763 0.000763
228.000000 0.000130 0.000130
229.000000 0.000690 0.000690
230.000000 0.000445 0.000445
231.000000 0.001004 0.001004
232.000000 0.000696 0.000696
233.000000 0.000736 0.000736
234.000000 0.001254 0.001254
235.000000 0.001617 0.001617
236.000000 0.000400 0.000400
237.000000 0.001105 0.001105
238.000000 0.000569 0.000569
239.000000 0.000737 0.000737
240.000000 0.001452 0.001452
241.000000 0.000582 0.000582
242.000000 0.001465 0.001465
243.000000 0.001032 0.001032
244.000000 0.001032 0.001032
245.000000 0.003133 0.003133
246.000000 0.000673 0.000673
247.000000 0.001498 0.001498
248.000000 0.000525 0.000525
249.000000 0.001229 0.001229
250.000000 0.000960 0.000960
251.000000 0.002335 0.002335
252.000000 0.001431 0.001431
253.000000 0.000349 0.000349
254.000000 0.000863 0.000863
255.000000 0.000475 0.000475
256.000000 0.000103 0.000103
257.000000 0.000407 0.000407
258.000000 0.000882 0.000882
259.000000 0.000149 0.000149
260.000000 0.000512 0.000512
261.000000 0.000489 0.000489
262.000000 0.000137 0.000137
263.000000 0.000445 0.000445
264.000000 0.001823 0.001823
265.000000 0.008193 0.008193
266.000000 0.001186 0.001186
267.000000 0.001461 0.001461
268.000000 0.002165 0.002165
269.000000 0.000605 0.000605
270.000000 0.000436 0.000436
271.000000 0.001719 0.001719
272.000000 0.000926 0.000926
273.000000 0.000323 0.000323
274.000000 0.002977 0.002977
275.000000 0.000618 0.000618
276.000000 0.000115 0.000115
277.000000 0.001485 0.001485
278.000000 0.000638 0.000638
279.000000 0.000299 0.000299
280.000000 0.005486 0.005486
281.000000 0.000139 0.000139
282.000000 0.000345 0.000345
283.000000 0.003613 0.003613
284.000000 0.000188 0.000188
285.000000 0.003128 0.003128
286.000000 0.003258 0.003258
287.000000 0.001327 0.001327
288.000000 0.000699 0.000699
289.000000 0.004101 0.004101
290.000000 0.003182 0.003182
291.000000 0.000446 0.000446
292.000000 0.000793 0.000793
293.000000 0.000319 0.000319
294.000000 0.004796 0.004796
295.000000 0.001130 0.001130
296.000000 0.000687 0.000687
297.000000 0.003902 0.003902
298.000000 0.000322 0.000322
299.000000 0.000215 0.000215
300.000000 0.000684 0.000684
301.000000 0.002333 0.002333
302.000000 0.000857 0.000857
303.000000 0.002438 0.002438
304.000000 0.000513 0.000513
305.000000 0.000094 0.000094
306.000000 0.001185 0.001185
307.000000 0.001661 0.001661
308.000000 0.000630 0.000630
309.000000 0.000734 0.000734
310.000000 0.000490 0.000490
311.000000 0.000142 0.000142
312.000000 0.001940 0.001940
313.000000 0.000930 0.000930
314.000000 0.000126 0.000126
315.000000 0.000254 0.000254
316.000000 0.000451 0.000451
317.000000 0.000254 0.000254
318.000000 0.001954 0.001954
319.000000 0.001038 0.001038
320.000000 0.000201 0.000201
321.000000 0.000328 0.000328
322.000000 0.000615 0.000615
323.000000 0.000442 0.000442
324.000000 0.000593 0.000593
325.000000 0.001208 0.001208
326.000000 0.003749 0.003749
327.000000 0.000855 0.000855
328.000000 0.001567 0.001567
329.000000 0.000179 0.000179
330.000000 0.001241 0.001241
331.000000 0.000099 0.000099
332.000000 0.002123 0.002123
333.000000 0.002079 0.002079
334.000000 0.000727 0.000727
335.000000 0.001485 0.001485
336.000000 0.001298 0.001298
337.000000 0.001328 0.001328
338.000000 0.007929 0.007929
339.000000 0.000615 0.000615
340.000000 0.001417 0.001417
341.000000 0.000498 0.000498
342.000000 0.001509 0.001509
343.000000 0.000542 0.000542
344.000000 0.003508 0.003508
345.000000 0.000911 0.000911
346.000000 0.000755 0.000755
347.000000 0.001273 0.001273
348.000000 0.000566 0.000566
349.000000 0.006557 0.006557
350.000000 0.004431 0.004431
351.000000 0.001426 0.001426
352.000000 0.000654 0.000654
353.000000 0.003941 0.003941
354.000000 0.000538 0.000538
355.000000 0.000171 0.000171
356.000000 0.003091 0.003091
357.000000 0.000147 0.000147
358.000000 0.000098 0.000098
359.000000 0.002379 0.002379
360.000000 0.000777 0.000777
361.000000 0.000409 0.000409
362.000000 0.001648 0.001648
363.000000 0.000493 0.000493
364.000000 0.000119 0.000119
365.000000 0.000579 0.000579
366.000000 0.000284 0.000284
367.000000 0.000468 0.000468
368.000000 0.002833 0.002833
369.000000 0.000216 0.000216
370.000000 0.000288 0.000288
371.000000 0.002763 0.002763
372.000000 0.000656 0.000656
373.000000 0.000619 0.000619
374.000000 0.000300 0.000300
375.000000 0.001211 0.001211
376.000000 0.000951 0.000951
377.000000 0.000764 0.000764
378.000000 0.002716 0.002716
379.000000 0.001078 0.001078
380.000000 0.007699 0.007699
381.000000 0.001749 0.001749
382.000000 0.001122 0.001122
383.000000 0.000201 0.000201
384.000000 0.000999 0.000999
385.000000 0.000469 0.000469
386.000000 0.000874 0.000874
387.000000 0.000971 0.000971
388.000000 0.003391 0.003391
389.000000 0.000198 0.000198
390.000000 0.001947 0.001947
391.000000 0.004093 0.004093
392.000000 0.000727 0.000727
393.000000 0.000820 0.000820
394.000000 0.001363 0.001363
395.000000 0.000147 0.000147
396.000000 0.001294 0.001294
397.000000 0.001791 0.001791
398.000000 0.000166 0.000166
399.000000 0.002558 0.002558
400.000000 0.002374 0.002374
401.000000 0.001040 0.001040
402.000000 0.003608 0.003608
403.000000 0.001805 0.001805
404.000000 0.004450 0.004450
405.000000 0.000140 0.000140
406.000000 0.000733 0.000733
407.000000 0.006266 0.006266
408.000000 0.002609 0.002609
409.000000 0.000797 0.000797
410.000000 0.000726 0.000726
411.000000 0.005528 0.005528
412.000000 0.000831 0.000831
413.000000 0.000472 0.000472
414.000000 0.002067 0.002067
415.000000 0.000687 0.000687
416.000000 0.000919 0.000919
417.000000 0.001564 0.001564
418.000000 0.000939 0.000939
419.000000 0.001642 0.001642
420.000000 0.001266 0.001266
421.000000 0.002071 0.002071
422.000000 0.000211 0.000211
423.000000 0.003784 0.003784
424.000000 0.000797 0.000797
425.000000 0.001054 0.001054
426.000000 0.002524 0.002524
427.000000 0.001298 0.001298
428.000000 0.001635 0.001635
429.000000 0.000247 0.000247
430.000000 0.000218 0.000218
431.000000 0.005980 0.005980
432.000000 0.001954 0.001954
433.000000 0.000585 0.000585
434.000000 0.000467 0.000467
435.000000 0.000560 0.000560
436.000000 0.002475 0.002475
437.000000 0.001309 0.001309
438.000000 0.000222 0.000222
439.000000 0.000292 0.000292
440.000000 0.008367 0.008367
441.000000 0.001097 0.001097
442.000000 0.000165 0.000165
443.000000 0.002781 0.002781
444.000000 0.000653 0.000653
445.000000 0.000292 0.000292
446.000000 0.002089 0.002089
447.000000 0.001489 0.001489
448.000000 0.000513 0.000513
449.000000 0.000998 0.000998
450.000000 0.002412 0.002412
451.000000 0.002114 0.002114
452.000000 0.002766 0.002766
453.000000 0.000133 0.000133
454.000000 0.001018 0.001018
455.000000 0.001020 0.001020
456.000000 0.003118 0.003118
457.000000 0.000319 0.000319
458.000000 0.000403 0.000403
459.000000 0.000799 0.000799
460.000000 0.001674 0.001674
461.000000 0.002300 0.002300
462.000000 0.001006 0.001006
463.000000 0.001424 0.001424
464.000000 0.003600 0.003600
465.000000 0.001864 0.001864
466.000000 0.000821 0.000821
467.000000 0.000164 0.000164
468.000000 0.000311 0.000311
